"Thai","Vietnamese","POS_Tags_Thai"
"ꪢꪱꪀ ꪭꪸ꪿","quả rơi","cxđ. cxđ."
"ꪼꪕ꪿ ꪶꪩ꪿ ꪹꪄꪱ꫁ ꪶꪔ꪿ꪀ ꪭꪸ꪿ ꪭꪱꪥ ꪼꪜ","bao thủng gạo rơi vương vãi","cxđ. cxđ. d. cxđ. cxđ. cxđ."
"ꪚꪷ꪿ ꪬꪸꪀ","mỏ thiếc","d. cxđ."
"ꪭꪸꪀ ꪀꪽ ꪣꪱ","kêu nhau về","k. d. đg."
"ꪹꪎꪱ꪿ ꪭꪸꪀ ꪫ꪿ꪱ ꪹꪋꪸ꫁ꪙ","người ta cho là thế","cxđ. cxđ. p."
"ꪭꪸꪀ ꪫ꪿ꪱ ꪋ꪿ꪮꪥ ꪹꪤ ꪀꪽ","gọi là giúp đỡ nhau","cxđ. cxđ. d."
"ꪭꪴ꫁ ꪬꪸꪣ ꪄꪮꪉ","biết giữ của","đg. cxđ. d."
"ꪬꪸꪣ ꪁꪾ ꪹꪋ꪿ꪉ ꪀꪲꪙ","kiêng kị thức ăn","cxđ. cxđ."
"ꪬꪸꪣ ꪡꪮꪉ ꪶꪔ ꪜ꪿ꪱ","phòng giữ thú vật","cxđ. cxđ."
"* ꪬꪸꪣ ꪶꪎꪚ ꪬꪸꪣ ꪜꪱꪀ","giữ mồm giữ miệng","SYM cxđ. cxđ. đg."
"ꪹꪭꪙ ꪬꪸ꪿ꪣ ꪩꪴꪀ","nhà hiếm con","d. cxđ. cxđ."
"ꪕꪱꪉ ꪬꪸ꫁ꪣ","đường hiểm","cxđ. cxđ."
"ꪵꪄ꫁ꪫ ꪬꪸ꫁ꪙ","răng sún","đg. cxđ."
"ꪬꪸ꫁ꪙ ꪻꪚ","mòn lá","cxđ. d."
"ꪻꪚ ꪼꪣ꫁ ꪬꪸ꫁ꪙ ꪁꪩꪷ꪿","lá cây trụi thui lủi","d. d. cxđ."
"ꪭꪸꪙ ꪵꪬ꪿ꪉ ꪹꪠꪉ ꪻꪒ?","du học phương nao?","cxđ. cxđ. cxđ. UNK"
"ꪝꪱꪙ ꪬꪸ꪿ꪉ","bàn nghiêng","d. đg. t."
"ꪹꪭ ꪬꪸ꪿ꪉ","thuyền rành","cxđ. đg. t."
"ꪬꪸ꪿ꪉ ꪻꪊ","thiên lòng","đg. t. t."
"ꪔꪱ ꪬꪸ꪿ꪉ","mắt hiếng","d. đg. t."
"ꪬꪸ꪿ꪉ ꪬꪴ ꪎꪸ ꪡꪰꪉ","lắng tai mà nghe","cxđ. t. t."
"ꪬꪸ꪿ꪉ ꪡꪰꪉ ꪼꪏ ꪚꪮꪀ","lắng nghe thầy dạy","cxđ. d. đg."
"ꪬꪸ꪿ꪉ ꪡꪰꪉ ꪀꪫꪱꪙ ꪄ꪿ꪱꪫ","nghe ngóng tin tức","cxđ. d. đg."
"ꪒ꪿ꪮꪙ ꪭꪸꪉ ꪭꪸꪉ","trắng phau phau","d. cxđ."
"ꪭꪸꪉ ꪵꪁ ꪀꪽ ꪼꪜ","sánh vai nhau đi","cxđ. d. cxđ."
"ꪭꪸꪉ ꪵꪠꪉ ꪨꪮꪣ ꪮ꪿ꪮꪙ","sánh đôi cùn em","cxđ. cxđ. t."
"ꪬꪸꪚ ꪹꪮꪱ ꪹꪋ꪿ꪉ","hiếp lấy của","cxđ. đg. cxđ."
"ꪬꪸꪚ ꪥ꫁ꪱ ꪹꪤꪸꪙ ꪼꪝ꪿","hà hiếp nhân dân","cxđ. d. cxđ."
"ꪬꪸꪒ ꪁꪺꪙ ꪬꪸꪒ","hút thuốc lào","d. d."
"ꪼꪣ꫁ ꪭꪲ ꪭꪸꪒ ꪭꪸꪒ","cây dài đườn đưỡn","d. cxđ. cxđ."
"ꪫꪸꪀ ꪬꪸ꪿ꪫ ꪹꪯꪸꪣ ꪎꪲꪉ","việc hiếu mẫu thân","d. cxđ. d. cxđ."
"ꪭꪸꪫ ꪏꪱꪉ","cành tre","cxđ. cxđ."
"ꪹꪙ꫁ ꪘ꫁ꪱ ꪭꪸꪫ ꪹꪭꪸ꪿ꪉ","vẻ mặt đĩ tính","đg. đg. cxđ. cxđ."
"ꪭꪸ꫁ꪫ ꪼꪢ꪿ ꪎ꫁ꪺꪉ ꪹꪎ꫁","hiệu may quần áo","cxđ. d. cxđ."
"ꪹꪣ ꪤꪱꪣ ꪭꪸ꫁ꪫ ꪹꪀꪱ꪿","đi thăm nơi thân cũ","cxđ. cxđ. cxđ. cxđ."
"ꪬꪺ ꪬꪲꪀ ꪬꪲꪀ","cười khúc khích","d. cxđ."
"ꪭꪲꪣ ꪜ꪿ꪱ","mé rừng","d. d."
"ꪼꪜ ꪭꪲꪣ ꪶꪬ꪿ꪀ","đi trên cạn","cxđ. d. cxđ."
"ꪼꪜ ꪕ꪿ꪮꪥ ꪭꪲꪣ ꪹꪡꪥ ꪕꪱꪉ","đi theo bên lề đường","cxđ. cxđ. cxđ."
"ꪭꪲꪣ ꪶꪎꪚ ꪵꪒꪉ","môi đỏ","cxđ. d."
"ꪼꪎ꪿ ꪶꪔ꫁ꪣ ꪭꪲ꫁ꪙ","trứng luộc lòng đào","cxđ. d. cxđ."
"* ꪖꪲ꫁ꪣ ꪬꪲꪙ ꪶꪩꪉ ꪘꪮꪉ","ném đất xuống ao; ném bùn sang ao","SYM cxđ. cxđ. cxđ. cxđ."
"ꪭꪲ꪿ꪙ ꪹꪮꪱ ꪹꪐ꫁","gạn lấy cái","cxđ. đg. cxđ."
"* ꪭꪲ꫁ꪙ ꪶꪄꪚ ꪑꪴꪉ ꪀꪲꪙ","dĩn cắn muỗi đốt; rắn cắn hổ vồ","SYM cxđ. d. cxđ. d."
"ꪬꪲ꪿ꪉ ꪝꪷ꫁ ꪀꪽ","mới gặp nhau","cxđ. cxđ. d."
"ꪬꪲ꫁ꪉ ꪖ꫁ꪺꪥ ꪖꪴ꪿","chạn bát đũa","cxđ. d."
"ꪹꪏꪷ ꪘꪰ꫁ꪉ ꪬꪲ꫁ꪉ ꪬ꪿ꪮꪉ","thờ ơ hương án","đg. cxđ. cxđ."
"ꪬꪲ꫁ꪉ ꪜꪲ꫁ꪉ ꪜꪱ","cái gắp nướng cá","cxđ. cxđ. đg."
"ꪶꪙ꫁ꪀ ꪬꪲꪚ ꪣꪲꪒ ꪹꪄꪱ꫁","chim rỉa hạt lúa","cxđ. cxđ. cxđ. d."
"ꪬꪲꪚ ꪜꪴꪣ","thót bụng","cxđ. cxđ."
"ꪬꪲꪚ ꪹꪨꪱ꫁","nhắp rượu","cxđ. cxđ."
"ꪭꪲꪚ ꪹꪉꪷꪙ ꪹꪖꪸ꪿ꪫꪥ","thu tiền thuế","cxđ. đg. UNK"
"ꪹꪥꪸꪒ ꪠꪲꪒ ꪭꪲꪒ","làm trái lệ","cxđ. cxđ."
"* ꪭꪲꪒ ꪚ꫁ꪱꪙ ꪅꪮꪉ ꪹꪣꪉ","lệ làng tục nước","SYM cxđ. d. d."
"* ꪭꪲꪒ ꪅꪮꪉ ꪔꪮꪉ ꪋ꫁ꪽ","phong tục tập quán","SYM cxđ. t. cxđ."
"* ꪬꪲ꫁ꪫ ꪶꪖꪉ ꪝꪱ ꪼꪕ","xách túi mang bao; tay sách nách mang","SYM cxđ. t. đg. đ."
"ꪭꪲ꪿ꪫ ꪹꪨꪱ꫁","hãi rượu","cxđ. cxđ."
"ꪹꪨꪱ ꪭꪲ꫁ꪫ","vót que xiên","cxđ. t."
"ꪭꪲ꫁ꪫ ꪹꪐ꪿ ꪤ꫁ꪱꪉ ꪙꪳ꪿ꪉ","một xóc thịt khô","t. cxđ. cxđ. .cxđ"
"ꪹꪥꪸꪒ ꪵꪭꪩ꫁ ꪵꪭꪩꪒ","gây trò bỡn cợt","cxđ. cxđ."
"ꪬꪨꪲꪀ ꪵꪬꪨꪀ ꪀꪾꪚ ꪠꪴ꫁ ꪻꪐ꪿","cợt nhả với người lớn","cxđ. d. cxđ. đg."
"ꪎ꪿ꪱ ꪢꪱꪀ ꪮꪳꪀ ꪬꪨꪴꪀ ꪬꪨꪲꪀ","giàn bí đổ sụp xuống","cxđ. cxđ. cxđ. cxđ."
"ꪬꪨꪴꪀ ꪬꪨꪲꪀ ꪼꪜ ꪵꪩ ꪋ꫁ꪱꪉ","đổ dồn đi xem voi","cxđ. cxđ. cxđ. cxđ."
"ꪔꪲꪙ ꪹꪜꪸꪙ ꪬꪷ","nước ăn chân","đg. t. cxđ."
"ꪜꪺ ꪙꪰ꪿ꪉ ꪬꪷ ꪁꪾ","vua ngồi lầu vàng","cxđ. cxđ. cxđ."
"ꪬꪷ ꪩꪺꪉ ꪹꪭꪙ ꪜꪺ","lầu rồng nhà vua","cxđ. cxđ."
"ꪣꪳ ꪹꪜꪸꪙ ꪬꪷ ꪹꪨꪙ","tay bị chín mé","t. t. cxđ."
"ꪬꪲ꫁ꪫ ꪬꪷ꪿ ꪹꪄꪱ꫁","xách gói cơm","cxđ. cxđ. d."
"ꪬꪷ꪿ ꪹꪄꪱ꫁ ꪶꪔ꫁ꪣ","gói bánh chưng","cxđ. d."
"ꪬꪷ꪿ ꪭꪾ ꪹꪋ꪿ꪉ ꪀꪲꪙ","gói gắm thức ăn","cxđ. cxđ."
"ꪬꪷ꫁ ꪘꪰ꫁ꪉ ꪶꪀ꪿ꪀ ꪀꪷ ꪼꪣ꫁","trú ở gốc cây","cxđ. cxđ. d. d."
"ꪬꪷ꫁ ꪘꪰ꫁ꪉ ꪝꪷ꪿ ꪵꪣ꪿","nương bóng ông bà","cxđ. cxđ. cxđ."
"ꪭꪮꪙ ꪣꪽ ꪀꪷ","nạo sắn","cxđ. cxđ."
"ꪎꪮꪉ ꪶꪁꪙ ꪭꪷ꪿ ꪀꪽ ꪝꪱꪙ ꪙꪳ꪿ꪉ","hai người chung nhau một bàn","đg. d. cxđ. d. d. .cxđ"
"ꪭꪷ꪿ ꪵꪝꪫ ꪹꪉꪷꪙ","ví tiền","cxđ. đg."
"* ꪶꪁꪙ ꪣꪲ ꪭꪷ꫁, ꪢꪷ꫁ ꪣꪲ ꪹꪬꪸ꪿","người có họ, nồi có rế; chim có tổ, nước có nguồn","SYM d. đg. UNK d. đg. cxđ."
"* ꪭꪷ꫁ ꪵꪙꪫ ꪵꪖꪫ ꪹꪩꪒ","dòng họ dòng máu; tông chi họ hàng","SYM cxđ. cxđ. t."
"ꪣꪴꪥ ꪬꪫꪱ ꪬꪮꪣ ꪀꪲ꪿ꪙ","mùi hoa thơm ngát","UNK cxđ. cxđ."
"ꪭꪫꪱ ꪡ꫁ꪱꪥ","trang bàu cảu","cxđ. đg."
"ꪭꪫꪱ ꪭꪳ ꪫ꪿ꪱ ꪕꪾꪚ","hòa hay chiến","cxđ. cxđ. cxđ."
"ꪵꪏ ꪭꪫꪱꪀ ꪭꪫꪱꪀ","múa xòe rầm rập","cxđ. cxđ."
"* ꪬꪮꪥ ꪻꪒ ꪬꪮꪥ ꪹꪚꪱ꪿ ꪀꪲꪙ ꪙ꪿ꪱꪣ","ốc nào ốc chẳng ăn bùn","SYM d. đ. d. cxđ. d. cxđ."
"ꪬꪮꪥ ꪪꪱꪥ","roi mây","d. cxđ."
"ꪮꪽ ꪬ꫁ꪮꪥ ꪹꪎ꫁","cái móc áo","d. cxđ. d."
"ꪬ꫁ꪮꪥ ꪣꪴ꫁ ꪻꪎ꪿ ꪵꪏ꪿ ꪹꪨꪸ꪿ꪀ","móc mũ vào đinh","cxđ. d. cxđ. cxđ."
"ꪚ꫁ꪱ ꪙ꫁ꪮꪥ ꪬ꫁ꪮꪥ ꪶꪀ꫁ꪙ ꪹꪯꪸꪣ","thằng bé bám đít mẹ","d. d. cxđ. d."
"ꪬ꫁ꪮꪥ ꪵꪄꪫꪙ ꪝꪲ꪿ ꪙ꫁ꪮꪉ","bấu víu anh em","cxđ. cxđ."
"ꪭꪮꪥ ꪔꪲꪙ","vết chân","cxđ. đg."
"ꪭꪮꪥ ꪶꪣꪒ","lần kiến","cxđ. cxđ."
"ꪶꪁꪣ ꪣꪲꪒ ꪭ꪿ꪮꪥ","lưỡi dao cớn","t. cxđ. d."
"ꪻꪚ ꪬ꫁ꪱ ꪭ꫁ꪮꪥ ꪝꪽ","tờ năm trăm nghìn","d. cxđ. cxđ. d."
"ꪭ꫁ꪮꪥ ꪜꪱ ꪙꪳ꪿ꪉ","một xâu cá","cxđ. đg. .cxđ"
"ꪭ꫁ꪮꪥ ꪹꪉꪷꪙ ꪎꪴ","chuỗi tiền xu","cxđ. đg. cxđ."
"ꪭ꫁ꪮꪥ ꪹꪕ꪿ ꪶꪔ ꪜꪱ","xâu từng con cá một","cxđ. cxđ. t. đg."
"ꪬꪮꪀ ꪵꪉ꪿ꪣ","giáo ngạnh","cxđ. cxđ."
"ꪝꪴ꪿ꪉ ꪬꪮꪀ","phóng lao","đg. cxđ."
"ꪬꪺ ꪬꪮꪀ","bạc đầu","d. cxđ."
"ꪶꪠꪣ ꪬꪺ ꪬꪮꪀ ꪶꪏꪝꪀ","mái tóc bạc phơ","d. d. cxđ."
"ꪄꪳ꫁ꪙ ꪫꪽ ꪹꪁꪷ꪿ ꪶꪔ ꪶꪭꪀ","trèo nhanh như sóc","cxđ. d. t. t. cxđ."
"ꪭꪮꪀ ꪼꪎ꪿","ổ trứng","cxđ. cxđ."
"ꪮꪱꪥ ꪬꪮꪣ","mùi thơm","d. đ."
"ꪬꪮꪣ ꪹꪉꪷꪙ","gom tiền","đ. đg."
"ꪬꪮꪣ ꪵꪭꪉ ꪵꪜ ꪹꪎꪷ꪿ꪀ","họp sức thắng địch","đ. d. cxđ. cxđ."
"ꪨꪱꪥ ꪼꪣ꫁ ꪬꪮꪣ ꪀꪽ ꪹꪜꪸꪙ ꪜ꪿ꪱ","nhiều cây chụm lại thành rừng","cxđ. d. đ. d. t. d."
"ꪬꪮꪣ ꪹꪬꪉ ꪚꪮꪀ ꪁꪱꪥ","hương thơm hoa đào","cxđ. đg. d."
"ꪚꪮꪀ ꪼꪄ ꪬꪮꪣ ꪀꪲ꪿ꪙ","hoa nở thơm ngát","đg. đg. cxđ."
"ꪀꪲꪙ ꪤꪱ ꪻꪬ꫁ ꪬ꪿ꪮꪣ ꪒꪲ ꪫꪽ","uống thuốc cho chóng khỏe","d. cxđ. cxđ. cxđ. d."
"ꪬ꫁ꪮꪣ ꪜꪱ","bủa cả","cxđ. đg."
"ꪬ꫁ꪮꪣ ꪜꪰꪒ ꪶꪁꪙ ꪩꪰꪀ","đuổi bắt ke trộm","cxđ. cxđ. d. cxđ."
"ꪭꪮꪣ ꪼꪣ꫁","hòm gỗ","cxđ. d."
"ꪶꪖꪣ ꪬꪮꪣ ꪭꪷ꫁","lấp hẻm vực","cxđ. đ. cxđ."
"ꪬꪮꪙ ꪼꪀ꪿","mào gà","cxđ. d."
"ꪚ꫁ꪱ ꪙ꫁ꪮꪥ ꪬꪮꪙ ꪬꪷ꪿ ꪤꪴ꪿","thằng bé nhút nhát","d. d. cxđ. p."
"ꪬ꪿ꪮꪙ ꪹꪬꪸꪙ ꪎꪰꪀ ꪹꪕ꪿","chẳng thấy bao gìờ","p. đg. cxđ. cxđ."
"ꪭꪮꪙ ꪒꪲꪙ","khoảnh đất","cxđ. d."
"ꪭꪮꪙ ꪙꪱ","vạt ruộng","cxđ. d."
"ꪹꪮꪱ ꪵꪀ꫁ꪫ ꪭꪮꪙ ꪊꪸ꫁","dùng kéo rẻo giấy","đg. d. cxđ. cxđ."
"ꪭꪮꪙ ꪨꪺ","chặt đoạn củi cành","cxđ. cxđ."
"ꪵꪒꪒ ꪭꪮꪙ ꪭꪮꪙ","nắng chang chang","đg. cxđ."
"ꪙꪾ꫁ ꪭ꫁ꪮꪙ","nước nóng","đg. d."
"ꪭ꫁ꪮꪙ ꪹꪮꪱ꫁ ꪤꪴ꪿ ꪥꪱꪀ","nóng bức khó chịu","cxđ. cxđ."
"* ꪭ꫁ꪮꪙ ꪶꪢ꪿ꪀ ꪭ꫁ꪮꪙ ꪻꪊ","nóng lòng nóng ruột","SYM d. cxđ. cxđ."
"ꪭ꫁ꪮꪙ ꪹꪅꪷꪉ ꪘ꫁ꪱ ꪫꪸꪀ","lo toan công việc","cxđ. cxđ."
"ꪭ꫁ꪮꪙ ꪹꪅꪷꪉ ꪎꪴ꪿ ꪣꪸ","rục rịch cưới vợ","cxđ. cxđ. cxđ."
"ꪭ꫁ꪮꪙ ꪼꪎ꫁ ꪄꪺꪚ ꪹꪋꪷ","nóng sốt định kỳ","cxđ. d."
"* ꪭ꫁ꪮꪙ ꪹꪎꪱ꫁ ꪭ꫁ꪮꪙ ꪔꪾꪚ","nóng ruột nóng gan","SYM d. cxđ. d. cxđ."
"ꪬ꫁ꪮꪉ ꪹꪭꪙ","gian nhà","cxđ. d."
"ꪵꪀ꫁ ꪎꪲ꪿ ꪬ꫁ꪮꪉ","kẻ bốn ô","đg. cxđ. cxđ."
"ꪊꪸ꫁ ꪭꪮꪉ ꪢꪷ꫁","giấy lót nồi","cxđ. cxđ. d."
"ꪄ꫁ꪱ ꪶꪁꪙ ꪭꪮꪉ ꪹꪙꪱ꪿","giết người tuẫn táng","đg. d. cxđ."
"ꪄꪴꪒ ꪭ꪿ꪮꪉ","đào hào","đg. cxđ."
"ꪭ꪿ꪮꪉ ꪎꪨꪰꪉ","hõm lưng","cxđ. đg."
"ꪭ꪿ꪮꪉ ꪨꪷ꪿ ꪮ꫁ꪮꪣ ꪹꪭꪙ","rãnh khơi quanh nhà","cxđ. cxđ. d."
"ꪢꪱ ꪭ꫁ꪮꪉ","chó kêu","d. đg."
"ꪎꪳ꪿ꪉ ꪎꪳ꫁ ꪭ꫁ꪮꪉ","sư tử rống","UNK cxđ. đg."
"ꪹꪊꪸꪚ ꪨꪱꪥ ꪭ꫁ꪮꪉ ꪋꪱꪉ","đau quá rên rẩm","cxđ. cxđ. cxđ."
"ꪬꪮꪚ ꪨꪺ ꪙꪳ꪿ꪉ","một ôm củi","cxđ. cxđ. .cxđ"
"ꪬꪮꪚ ꪹꪮꪱ ꪨꪺ ꪣꪱ ꪹꪭꪙ","ôm lấu củi đem về nhà","cxđ. đg. cxđ. đg. d."
"ꪬꪮꪚ ꪼꪜ ꪀ꪿ꪱ ꪹꪯꪸꪣ","bon về với mẹ","cxđ. cxđ. k. d."
"ꪬꪮꪚ ꪄ꫁ꪱꪥ ꪜ꪿ꪱ","chuồn vào rừng","cxđ. UNK d."
"ꪬꪮꪚ ꪼꪜ ꪎ꪿ꪱꪫ ꪩꪴꪀ","đâm bổ đi tìm con","cxđ. cxđ. cxđ. cxđ."
"ꪬꪮꪚ ꪤꪺꪒ ꪼꪜ ꪎꪱꪫ ꪨꪱꪙ","hộc tốc đi tìm cháu","cxđ. cxđ. t. cxđ."
"ꪬꪮꪚ ꪩꪲꪒ ꪹꪣ ꪹꪭꪙ","chuồn thẳng về nhà","cxđ. cxđ. d."
"ꪠꪴꪀ ꪎꪮꪉ ꪭꪮꪚ ꪹꪋꪀ","buộc hai lượt dây","cxđ. đg. cxđ. cxđ."
"ꪼꪜ ꪭꪮꪚ","đi họp","cxđ. cxđ."
"ꪵꪎꪚ ꪹꪄꪱ꫁ ꪨꪱꪥ ꪬꪮꪒ ꪼꪜ","đói quá lả đi","cxđ. d. cxđ. cxđ. cxđ."
"ꪵꪩ꪿ꪙ ꪨꪱꪥ ꪬꪮꪒ ꪵꪭꪉ","chạy nhiều kiệt sức","cxđ. cxđ. cxđ."
"ꪹꪥꪸꪒ ꪨꪱꪥ ꪬꪮꪒ ꪬꪲꪫ","làm nhiều lực","cxđ. cxđ. cxđ. UNK"
"ꪙꪰ꪿ꪉ ꪬꪮꪒ ꪬꪷ꫁","ngồi thu lu","cxđ. cxđ."
"ꪣꪱ ꪭꪮꪒ ꪹꪭꪙ","về đến nhà","đg. .ctxđ d."
"ꪭꪮꪒ ꪬꪱ ꪝꪲ꪿ ꪙ꫁ꪮꪉ","nhờ đến anh em","cxđ. cxđ."
"ꪕꪳ꫁ ꪵꪔ꪿ ꪹꪭꪱ꫁ ꪭꪮꪒ ꪼꪅ꫁","từ trước đến nay","cxđ. cxđ. cxđ. cxđ."
"ꪶꪠꪙ ꪊꪲ꪿ ꪭꪮꪒ ꪼꪅ꫁","sắp mưa đến nơi","cxđ. cxđ. tr."
"ꪭꪮꪒ ꪑꪱꪣ ꪼꪭ꪿ ꪠ꫁ꪱꪥ","đến thời nương bông","cxđ. cxđ. d."
"ꪔꪱ ꪶꪬ꪿","mắt lòa","d. cxđ."
"ꪹꪄꪱ꫁ ꪋꪷ꫁ ꪶꪬ꪿","lúa bị lốp","d. cxđ. cxđ."
"ꪶꪭ ꪤ꪿ꪱꪙ ꪠꪴꪉ ꪎꪳ","hồ dán phong bì","đg. cxđ. cxđ."
"ꪶꪙꪚ ꪹꪉꪷꪙ ꪶꪭ","nộp tiền hồ","cxđ. đg. đg."
"ꪊꪸꪫ ꪶꪭ ꪶꪭ","reo ầm ầm","cxđ. cxđ."
"ꪬꪱ ꪻꪊ ꪶꪭ꪿","thở phào","cxđ. cxđ."
"ꪬꪱ ꪻꪊ ꪶꪭ꪿ ꪹꪭꪸ꪿","thở phì phò","cxđ. cxđ."
"ꪹꪥꪸꪒ ꪶꪭ꪿ ꪹꪭꪸ꪿ ꪹꪮꪱ","làm ào","cxđ. cxđ. đg."
"ꪼꪡ ꪼꪢ꫁ ꪶꪭ꪿ ꪶꪭ꪿","lửa cháy bùng bùng","d. cxđ. cxđ."
"ꪶꪩꪣ ꪶꪭ꪿ ꪶꪭ꪿","gió ào ào","d. cxđ."
"ꪬꪱ ꪻꪊ ꪶꪭ꪿ ꪶꪭ꪿","thở hồng hộc","cxđ. cxđ."
"ꪀꪲꪙ ꪤꪴ꪿ ꪶꪭ꫁ ꪶꪭꪣ ꪀꪽ","ăn ở chung đụng với nhau","cxđ. cxđ. d."
"ꪣꪳ꫁ ꪶꪬ꪿ꪀ ꪁꪾ꪿","ngày mồng sáu","đg. cxđ. d."
"ꪶꪭ꫁ꪀ ꪹꪚꪱ꪿ ꪶꪔ꪿ꪀ","sót nhau","d. cxđ. cxđ."
"ꪘ꫁ꪱ ꪶꪭ꫁ꪀ","mặt hốc hác","đg. d."
"ꪹꪭꪙ ꪤ꫁ꪱꪫ ꪭ꫁ꪮꪀ ꪭ꫁ꪱꪥ","nhà cửa nhếc nhác","cxđ. d. t."
"ꪜ꪿ꪱ ꪝꪴ ꪶꪭ꫁ꪀ ꪹꪭ꫁","núi rừng hoang vu","cxđ. cxđ."
"ꪶꪭꪥ ꪀꪽ","va nhau","cxđ. d."
"ꪹꪩꪱ꫁ ꪼꪩꪁ꫁ ꪎꪮꪉ ꪶꪭꪥ","lạy hai lượt","cxđ. UNK đg. cxđ."
"ꪕꪾꪚ ꪎꪮꪉ ꪶꪭꪥ ꪶꪀ꪿ꪉ","đánh hai hồi trống","cxđ. đg. cxđ. d."
"ꪵꪣ꪿ ꪮꪮꪀ ꪶꪭꪥ ꪀꪱꪥ","mâu thân hồi thiên","d. đg. cxđ."
"ꪶꪭꪥ ꪨꪰꪉ ꪹꪀꪸꪫꪥ ꪹꪀꪱ꪿","hồi hưỡng quê cũ","cxđ. cxđ. cxđ."
"ꪶꪭ꫁ꪥ ꪀꪾꪚ ꪀꪽ","hội ý với nhau","cxđ. d. d."
"ꪶꪭ꫁ꪥ ꪶꪭꪣ ꪀꪽ ꪹꪔꪸꪣ ꪹꪭꪙ","tụ họp đầy nhà","cxđ. d. t. d."
"ꪶꪭꪀ ꪹꪙꪱ꪿ ꪜꪱꪀ ꪚꪱꪒ","mủ thối vết thương","cxđ. cxđ."
"ꪹꪐꪸꪙ ꪕ꫁ꪱꪥ ꪶꪭꪀ ꪹꪙꪱ꪿ ꪮꪮꪀ","cáo chết thối rữa","cxđ. cxđ. cxđ. đg."
"ꪹꪕꪱ꪿ ꪩꪷ ꪼꪢ꫁ ꪶꪭ꪿ꪣ","bếp lò cháy kín hơi","t. đg. cxđ. cxđ."
"ꪄꪾꪚ ꪎꪸꪉ ꪶꪬꪣ","hát giọng trầm","đg. cxđ. cxđ."
"* ꪶꪬ꪿ꪣ ꪬꪴ꫁ ꪶꪬ꪿ꪣ ꪶꪭ꪿ꪥ","lủ lkhủ lù lù khù","SYM cxđ. UNK cxđ."
"ꪹꪮꪱ ꪠꪱ ꪶꪬ꫁ꪣ ꪢꪷ꫁","lấy vung về đậy nồi","đg. cxđ. cxđ. d."
"ꪶꪠꪉ ꪹꪭꪸ꪿ꪉ! ꪶꪬ꫁ꪣ ꪶꪎꪚ ꪶꪬ꫁ꪣ ꪒꪰꪉ ꪎꪸ!","bụi quá! che miệng che mũi lại!","d. UNK cxđ. cxđ. d. UNK"
"ꪶꪬ꫁ꪣ ꪤꪾ ꪫꪸꪀ ꪵꪕ꫁","bưng bít sự thật","cxđ. d. cxđ."
"ꪶꪬ꫁ꪣ ꪤꪾ ꪫꪸꪀ ꪹꪣꪉ","bít mật quốc gia","cxđ. d. d."
"ꪶꪬ꫁ꪣ ꪬꪲ꪿ ꪼꪬ ꪹꪨꪱ꫁","đậy điệm chum rượu","cxđ. cxđ. cxđ."
"* ꪶꪬ꫁ꪣ ꪶꪎꪚ ꪶꪬ꫁ꪣ ꪜꪱꪀ","bưng mồm bưng miệng","SYM cxđ. cxđ. đg."
"ꪶꪭꪣ ꪹꪉꪷꪙ","gom tiền","t. đg."
"ꪶꪭꪣ ꪎ꪿ꪱ ꪪꪸꪙ","tập họp xã viên","t. cxđ. UNK"
"ꪙꪳ꪿ꪉ ꪶꪭꪣ ꪻꪎ꪿ ꪙꪳ꪿ꪉ ꪹꪜꪸꪙ ꪎꪮꪉ","một cộng với một là hai",".cxđ t. cxđ. .cxđ t. đg."
"ꪶꪭꪣ ꪬꪈꪽ ꪹꪥꪸꪒ ꪹꪥ꫁ꪙ","góp sức nhau sản xuất","t. UNK cxđ."
"ꪝꪾꪚ ꪎꪳ ꪼꪫ꫁ ꪶꪭꪣ ꪭꪫꪱ ꪀꪽ","sách vở để lẫn lộn","cxđ. cxđ. cxđ. d."
"ꪙꪰ꪿ꪉ ꪀ꫁ꪮꪉ ꪶꪭ꪿ꪣ ꪶꪀ ꪀꪴ꫁","ngồi dưới bóng mát cây sấu","cxđ. d. cxđ. UNK d."
"ꪮꪲ꪿ꪙ ꪘꪰ꫁ꪉ ꪚ꪿ꪮꪙ ꪶꪭ꪿ꪣ","chơi chỗ rợp bóng","cxđ. cxđ. d. cxđ."
"ꪬꪺ ꪶꪭ꪿ꪣ ꪏꪴ","đầu che ô","d. cxđ. cxđ."
"ꪶꪬꪙ ꪵꪎ","lui xe; lùi xe","cxđ. đg."
"ꪹꪎꪷ꪿ꪀ ꪶꪬꪙ ꪁꪳꪙ","giặc lùi lại; giặc rút lui","cxđ. cxđ."
"ꪑ꪿ꪱꪉ ꪶꪬꪙ ꪨꪰꪉ","đi giật lùi","cxđ. cxđ."
"ꪶꪬ꫁ꪙ ꪹꪎꪷ꪿ꪀ ꪹꪎ","hỗn loạn giặc giã","cxđ. cxđ."
"ꪑꪱ ꪹꪥꪸꪒ ꪶꪭ꫁ꪙ ꪹꪋꪸ꫁ꪙ!","đường hỗn thế!","d. cxđ. cxđ. UNK"
"ꪵꪒꪙ ꪒꪲꪙ ꪶꪭ꫁ꪙ ꪭ꫁ꪱꪫ","biên giới nhộn nhạo","cxđ. cxđ."
